date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:08	64164/64164	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Jan%202018%2014:15:54%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/cart-prdct/3.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/cart-prdct/3.jpg	(from https://www.getmasum.com/html-preview/fancyshop/cart.html)
17:06:09	5495/5495	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jan%202018%2016:47:26%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/comment/1.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/comment/1.jpg	(from https://www.getmasum.com/html-preview/fancyshop/blog-details.html)
17:06:10	3888/3888	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jan%202018%2016:48:00%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/comment/2.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/comment/2.jpg	(from https://www.getmasum.com/html-preview/fancyshop/blog-details.html)
17:06:10	140619/140619	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Feb%202018%2023:20:08%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/blog/2-full.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/blog/2-full.jpg	(from https://www.getmasum.com/html-preview/fancyshop/left-sidebar-blog.html)
17:06:11	273784/273784	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Feb%202018%2023:21:48%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/blog/1-full.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/blog/1-full.jpg	(from https://www.getmasum.com/html-preview/fancyshop/left-sidebar-blog.html)
17:06:11	21257/21257	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Feb%202018%2019:16:44%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/team/2.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/team/2.jpg	(from https://www.getmasum.com/html-preview/fancyshop/about-us.html)
17:06:12	19084/19084	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Feb%202018%2019:16:34%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/team/1.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/team/1.jpg	(from https://www.getmasum.com/html-preview/fancyshop/about-us.html)
17:06:12	19362/19362	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Feb%202018%2019:16:54%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/team/3.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/team/3.jpg	(from https://www.getmasum.com/html-preview/fancyshop/about-us.html)
17:06:13	17989/17989	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Feb%202018%2019:17:02%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/team/4.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/team/4.jpg	(from https://www.getmasum.com/html-preview/fancyshop/about-us.html)
17:06:14	43113/43113	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Feb%202018%2020:01:00%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/404.png	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/404.png	(from https://www.getmasum.com/html-preview/fancyshop/404.html)
17:06:21	219409/219409	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Feb%202018%2023:10:26%20GMT	https://www.getmasum.com/html-preview/fancyshop/img/screenshot.jpg	C:/My%20Web%20Sites/quan_ao/www.getmasum.com/html-preview/fancyshop/img/screenshot.jpg	(from https://www.getmasum.com/html-preview/fancyshop/about-us.html)
